,_id,movie_directors,movie_genres,movie_rating,movie_stars,movie_writers,name,plot,poster,release_year,reviews_num,titleId,tsne_glyph_x,tsne_glyph_y,signature_zscore_percent_anger,signature_zscore_percent_anticipation,signature_zscore_percent_disgust,signature_zscore_percent_fear,signature_zscore_percent_joy,signature_zscore_percent_sadness,signature_zscore_percent_surprise,signature_zscore_percent_trust,cluster_1,emotion_color,cluster_level2,tsne_glyph_x_level2,tsne_glyph_y_level2,emotion_color_lvl2
0,617411632788418ec824bd97,Edwin S. Porter,Short & Action & Crime & Western,4.0,A.C. Abadie & Gilbert M. 'Broncho Billy' Anderson & George Barnes & Justus D. Barnes & Walter Cameron,Scott Marble & Edwin S. Porter,The Great Train Robbery,nn,nn,1903,95,tt0000439,-39.6832,-61.5491,0.755083,0.126518,0.337996,0.706176,0.0797057,0.429206,0.361487,0.0275315,4,1,6,-43.9364,29.6193,6
1,617411852788418ec824bda3,D.W. Griffith,Drama & History & War,4.0,Henry B. Walthall & Lillian Gish & Mae Marsh & Miriam Cooper & Mary Alden,Thomas Dixon Jr. & Thomas Dixon Jr. & Thomas Dixon Jr.,The Birth of a Nation,nn,nn,1915,366,tt0004972,28.5047,19.0127,0.537824,0.644832,0.386924,0.707452,0.481306,0.524608,0.0660869,0.925528,4,1,3,5.94718,-49.2438,5
2,6174118b2788418ec824bda5,Cecil B. DeMille,Drama & Romance,4.0,Fannie Ward & Sessue Hayakawa & Jack Dean & James Neill & Yutaka Abe,Hector Turnbull & Jeanie Macpherson,The Cheat,nn,nn,1915,37,tt0005078,-21.9338,-26.3461,0.955536,0.345463,0.468401,0.403437,0.363136,0.221207,0.294564,0.820038,4,1,3,-2.53569,-41.9736,5
3,617411952788418ec824bda9,D.W. Griffith,Drama & History,4.0,Lillian Gish & Mae Marsh & Robert Harron & F.A. Turner & Sam De Grasse,Hettie Grey Baker & Tod Browning & D.W. Griffith,Intolerance: Love's Struggle Throughout the Ages,nn,nn,1916,111,tt0006864,-10.6786,-11.6588,0.725197,0.50015,0.633358,0.621868,0.352055,0.220172,0.128474,0.380975,4,1,4,30.4031,-17.2003,2
4,617411a72788418ec824bdaf,Charles Chaplin,Comedy & War,4.0,Charles Chaplin & Edna Purviance & Syd Chaplin & Loyal Underwood & Henry Bergman,Charles Chaplin,Shoulder Arms,nn,nn,1918,38,tt0009611,-40.9838,-47.6764,0.610906,0.106269,0.527412,0.791587,0.204438,0.315148,0.249955,0.230413,4,1,7,-45.0779,20.1303,3
5,617411ac2788418ec824bdb1,D.W. Griffith,Drama & Romance,4.0,Lillian Gish & Richard Barthelmess & Donald Crisp & Arthur Howard & Edward Peil Sr.,Thomas Burke & D.W. Griffith,Broken Blossoms,nn,nn,1919,89,tt0009968,-38.6363,23.6809,0.799087,0.310712,0.309584,0.691934,0.672065,0.805752,0.164605,0.659746,4,1,3,32.9087,-43.2605,5
6,617411b22788418ec824bdb3,Robert Wiene,Fantasy & Horror & Mystery & Thriller,5.0,Werner Krauss & Conrad Veidt & Friedrich Feher & Lil Dagover & Hans Heinrich von Twardowski,Carl Mayer & Hans Janowitz,The Cabinet of Dr. Caligari,nn,nn,1920,237,tt0010323,-27.6301,-13.1198,0.368557,0.183855,0.497859,0.513859,0.156379,0.424214,0.647126,0.286735,4,1,5,33.3931,9.39979,7
7,617411bc2788418ec824bdb7,John S. Robertson,Drama & Horror & Sci-Fi,4.0,John Barrymore & Brandon Hurst & Martha Mansfield & Charles Lane & Cecil Clovelly,Robert Louis Stevenson & Clara Beranger & Thomas Russell Sullivan,Dr. Jekyll and Mr. Hyde,nn,nn,1920,74,tt0011130,-6.563,-18.7818,0.310381,0.326082,0.837759,0.426376,0.340007,0.594632,0.452522,0.277778,4,1,7,49.9475,1.85252,3
8,617411c12788418ec824bdb9,Carl Boese & Paul Wegener,Fantasy & Horror,4.0,Paul Wegener & Albert Steinrück & Lyda Salmonova & Ernst Deutsch & Hans Stürm,Henrik Galeen & Paul Wegener,The Golem,nn,nn,1920,53,tt0011237,-38.8675,-54.8975,0.338321,0.107323,0.644125,0.691955,0.183448,0.461884,0.197158,0.172123,4,1,7,-13.9048,34.9184,3
9,617411d92788418ec824bdc3,Wallace Worsley,Crime & Drama & Mystery & Romance & Thriller,4.0,Lon Chaney & Leatrice Joy & John Bowers & Hardee Kirkland & Raymond Hatton,Gouverneur Morris & Ruth Wightman,The Ace of Hearts,nn,nn,1921,32,tt0011904,-32.9959,-9.14038,0.544772,0.222861,0.325968,0.695775,0.373704,0.768732,0.606719,0.220951,4,1,5,38.4594,25.4125,7
