_id,movie_directors,movie_genres,movie_rating,movie_stars,movie_writers,name,plot,poster,release_year,reviews_num,titleId,tsne_glyph_x,tsne_glyph_y,signature_zscore_percent_anger,signature_zscore_percent_anticipation,signature_zscore_percent_disgust,signature_zscore_percent_fear,signature_zscore_percent_joy,signature_zscore_percent_sadness,signature_zscore_percent_surprise,signature_zscore_percent_trust,cluster_1,emotion_color,cluster_level2,tsne_glyph_x_level2,tsne_glyph_y_level2,emotion_color_lvl2
617411d02788418ec824bdbf,Wallace Worsley,Crime & Drama & Horror & Thriller,4.0,Charles Clary & Doris Pawn & Jim Mason & Lon Chaney & Milton Ross,Gouverneur Morris & Gouverneur Morris & Charles Kenyon,The Penalty,nn,nn,1920,43,tt0011565,-76.8614,-10.7628,0.885481,0.112165,0.725244,0.79688,0.237755,0.76077,0.420452,0.23595,1,4,6,-5.63012,23.1398,1
617411ef2788418ec824bdcb,Victor Sjöström,Drama & Fantasy & Horror,5.0,Victor Sjöström & Hilda Borgström & Tore Svennberg & Astrid Holm & Concordia Selander,Selma Lagerlöf & Victor Sjöström,The Phantom Carriage,nn,nn,1921,68,tt0012364,-76.9729,-14.4875,0.628618,0.239184,0.723987,0.914023,0.323901,0.699786,0.376593,0.147607,1,4,5,17.9699,13.9312,5
617412132788418ec824bdd7,Benjamin Christensen,Documentary & Fantasy & History & Horror,4.0,Maren Pedersen & Clara Pontoppidan & Elith Pio & Oscar Stribolt & Tora Teje,Benjamin Christensen,Häxan,nn,nn,1922,87,tt0013257,-89.2117,-20.1235,0.867092,0.300389,0.760143,0.841989,0.197181,0.820217,0.190068,0.132709,1,4,6,7.32628,14.2645,1
6174121f2788418ec824bddb,F.W. Murnau,Fantasy & Horror,4.0,Max Schreck & Gustav von Wangenheim & Greta Schröder & Georg H. Schnell & Ruth Landshoff,Henrik Galeen & Bram Stoker,Nosferatu,nn,nn,1922,418,tt0013442,-80.9561,-2.92888,0.749405,0.139964,0.882388,0.8427,0.160031,0.707905,0.541987,0.180858,1,4,3,32.8814,-13.0029,7
617413aa2788418ec824be75,Lewis Milestone,Drama & War,5.0,Louis Wolheim & Lew Ayres & John Wray & Arnold Lucy & Ben Alexander,Erich Maria Remarque & Maxwell Anderson & George Abbott,All Quiet on the Western Front,nn,nn,1930,238,tt0020629,-72.4976,-31.7634,0.745069,0.0874001,0.445636,0.95712,0.163746,0.753803,0.379732,0.199111,1,4,6,5.26781,50.4751,1
6174141f2788418ec824be9d,F.W. Murnau,Fantasy & Horror,4.0,Max Schreck & Gustav von Wangenheim & Greta Schröder & Georg H. Schnell & Ruth Landshoff,Henrik Galeen & Bram Stoker,Nosferatu,nn,nn,1922,418,tt0021575,-80.9561,-2.92888,0.749405,0.139964,0.882388,0.8427,0.160031,0.707905,0.541987,0.180858,1,4,3,32.8814,-13.003,7
617414592788418ec824beb1,Tod Browning & Karl Freund,Drama & Fantasy & Horror,4.0,Bela Lugosi & Helen Chandler & David Manners & Dwight Frye & Edward Van Sloan,Bram Stoker & Hamilton Deane & John L. Balderston,Dracula,nn,nn,1931,557,tt0021814,-82.0317,-2.17972,0.659573,0.144313,0.740098,0.710655,0.205512,0.570732,0.622918,0.20851,1,4,5,40.7513,-1.91359,5
617414692788418ec824beb7,James Whale,Drama & Horror & Romance & Sci-Fi & Thriller,4.0,Colin Clive & Mae Clarke & John Boles & Boris Karloff & Edward Van Sloan,John L. Balderston & Mary Shelley & Peggy Webling,Frankenstein,nn,nn,1931,573,tt0021884,-84.757,3.8919,0.60183,0.223442,0.775354,0.960107,0.260994,0.67103,0.649806,0.215897,1,4,5,42.8437,-3.52144,5
6174147f2788418ec824bebf,Fritz Lang,Crime & Mystery & Thriller,5.0,Peter Lorre & Ellen Widmann & Inge Landgut & Otto Wernicke & Theodor Loos,Thea von Harbou & Fritz Lang & Egon Jacobson,M,nn,nn,1931,361,tt0022100,-58.5201,-15.1264,0.801406,0.513636,0.589431,0.894208,0.140007,0.55773,0.244523,0.239031,1,4,5,11.364,33.4195,5
6174151a2788418ec824beff,Tod Browning,Drama & Horror,4.0,Wallace Ford & Leila Hyams & Olga Baclanova & Roscoe Ates & Henry Victor,Clarence Aaron 'Tod' Robbins & Willis Goldbeck & Leon Gordon,Freaks,nn,nn,1932,281,tt0022913,-81.6586,-2.04423,0.703696,0.125111,0.76911,0.595675,0.226558,0.640553,0.568455,0.198374,1,4,5,39.8149,-1.62511,5
