_id,movie_directors,movie_genres,movie_rating,movie_stars,movie_writers,name,plot,poster,release_year,reviews_num,titleId,tsne_glyph_x,tsne_glyph_y,signature_zscore_percent_anger,signature_zscore_percent_anticipation,signature_zscore_percent_disgust,signature_zscore_percent_fear,signature_zscore_percent_joy,signature_zscore_percent_sadness,signature_zscore_percent_surprise,signature_zscore_percent_trust,cluster_1,emotion_color,cluster_level2,tsne_glyph_x_level2,tsne_glyph_y_level2,emotion_color_lvl2
617411b72788418ec824bdb5,D.W. Griffith,Comedy & Drama & Romance,4.0,Lillian Gish & Robert Harron & Wilbur Higby & Loyola O'Connor & George Fawcett,Marian Fremont,True Heart Susie,nn,nn,1919,49,tt0010806,96.8987,20.789,0.158853,0.758683,0.291022,0.12859,0.92743,0.228363,0.588765,0.824433,8,7,5,-24.1797,-14.5531,8
617412002788418ec824bdd1,Sam Wood,Drama & Romance,4.0,Gloria Swanson & Rudolph Valentino & Edythe Chapman & Alec B. Francis & Robert Bolder,Elinor Glyn & Jack Cunningham,Beyond the Rocks,nn,nn,1922,51,tt0012938,76.2619,37.8667,0.132984,0.656058,0.266256,0.106902,0.811004,0.636986,0.715665,0.446776,8,7,7,-13.493,29.1608,1
617412472788418ec824bdeb,Victor Sjöström,Drama & Romance & Thriller,4.0,Lon Chaney & Norma Shearer & John Gilbert & Ruth King & Marc McDermott,Leonid Andreyev & Carey Wilson & Victor Sjöström,He Who Gets Slapped,nn,nn,1924,48,tt0014972,31.1276,37.4541,0.369385,0.893142,0.513197,0.314016,0.900638,0.424743,0.861268,0.525073,8,7,2,32.5431,13.1153,2
6174128d2788418ec824be07,Buster Keaton,Comedy & Romance,4.0,Buster Keaton & T. Roy Barnes & Snitz Edwards & Ruth Dwyer & Frances Raymond,Roi Cooper Megrue & Clyde Bruckman & Jean C. Havez,Seven Chances,nn,nn,1925,55,tt0016332,75.7848,14.8187,0.124737,0.79407,0.159444,0.23513,0.833555,0.0612386,0.945031,0.353986,8,7,3,35.956,-35.5369,3
6174132e2788418ec824be47,Herbert Brenon,Drama,4.0,Lon Chaney & Bernard Siegel & Loretta Young & Cissy Fitzgerald & Nils Asther,David Belasco & Tom Cushing & Joseph Farnham,"Laugh, Clown, Laugh",nn,nn,1928,46,tt0019074,82.5575,24.8163,0.215954,0.967016,0.109783,0.177139,0.999599,0.571297,0.99999,0.137229,8,7,7,-3.6726,27.9989,1
6174136b2788418ec824be5d,Harry Beaumont,Drama & Musical & Romance,3.0,Charles King & Anita Page & Bessie Love & The Angeles Twins & Betty Arthur,Edmund Goulding & Norman Houston & James Gleason,The Broadway Melody,nn,nn,1929,85,tt0019729,84.2446,18.8367,0.22821,0.607526,0.0789303,0.0288897,0.920135,0.449837,0.648816,0.534317,8,7,6,-20.2708,28.1771,6
617413e42788418ec824be89,David Butler,Comedy & Fantasy & Musical & Romance & Sci-Fi,3.0,El Brendel & Maureen O'Sullivan & John Garrick & Marjorie White & Frank Albertson,Buddy G. DeSylva & Lew Brown & Ray Henderson,Just Imagine,nn,nn,1930,40,tt0021016,17.8288,42.7594,0.509134,0.843418,0.548438,0.441726,0.722494,0.652973,0.805675,0.631241,8,7,1,15.7851,39.3497,4
6174143c2788418ec824bea7,King Vidor,Drama & Sport,4.0,Wallace Beery & Jackie Cooper & Irene Rich & Roscoe Ates & Edward Brophy,Frances Marion & Wanda Tuchock & Don Marquis,The Champ,nn,nn,1931,31,tt0021730,58.6726,49.6181,0.407917,0.65355,0.236788,0.114187,0.642415,0.403856,0.534984,0.896269,8,7,6,2.29169,15.6534,6
617414542788418ec824beaf,Harry Beaumont,Crime & Drama & Romance,4.0,Joan Crawford & Lester Vail & Cliff Edwards & William Bakewell & William Holden,Aurania Rouverol & Aurania Rouverol & Joan Crawford,"Dance, Fools, Dance",nn,nn,1931,31,tt0021778,60.8556,-0.832484,0.343223,0.237609,0.127524,0.307686,0.766728,0.30981,0.708289,0.982797,8,7,6,-28.7618,1.59795,6
6174147a2788418ec824bebd,Ernst Lubitsch,Comedy & Romance & Musical,4.0,Maurice Chevalier & Claudette Colbert & Miriam Hopkins & Charles Ruggles & George Barbier,Leopold Jacobson & Felix Dormann & Hans Müller,The Smiling Lieutenant,nn,nn,1931,34,tt0022074,107.457,16.868,0.181162,0.578653,0.118929,0.109338,0.981652,0.157987,0.668235,0.88356,8,7,5,-41.8884,-19.2311,8
