_id,movie_directors,movie_genres,movie_rating,movie_stars,movie_writers,name,plot,poster,release_year,reviews_num,titleId,tsne_glyph_x,tsne_glyph_y,signature_zscore_percent_anger,signature_zscore_percent_anticipation,signature_zscore_percent_disgust,signature_zscore_percent_fear,signature_zscore_percent_joy,signature_zscore_percent_sadness,signature_zscore_percent_surprise,signature_zscore_percent_trust,cluster_1,emotion_color,cluster_level2,tsne_glyph_x_level2,tsne_glyph_y_level2,emotion_color_lvl2
6174116a2788418ec824bd99,J. Searle Dawley,Short & Fantasy & Horror & Sci-Fi,4.0,Mary Fuller & Charles Ogle & Augustus Phillips,Mary Shelley & J. Searle Dawley,Frankenstein,nn,nn,1910,66,tt0001223,-44.627,-60.2821,0.152646,0.170753,0.537856,0.83771,0.148405,0.291625,0.317974,0.0671279,5,8,1,15.2078,24.0216,4
617411702788418ec824bd9b,Francesco Bertolini & Adolfo Padovan & Giuseppe de Liguoro,Adventure & Drama & Fantasy & Horror,4.0,Salvatore Papa & Arturo Pirovano & Giuseppe de Liguoro & Pier Delle Vigne & Augusto Milla,Dante Alighieri,Dante's Inferno,nn,nn,1911,31,tt0002130,-4.82993,-52.2739,0.470213,0.207856,0.599075,0.374602,0.353755,0.417201,0.117059,0.0845326,5,8,7,4.82787,6.64081,6
6174119c2788418ec824bdab,Charles Chaplin,Short & Comedy,4.0,Charles Chaplin & Edna Purviance & Eric Campbell & Albert Austin & Lloyd Bacon,Vincent Bryan & Charles Chaplin & Charles Chaplin,Easy Street,nn,nn,1917,31,tt0007880,-20.0903,-40.7453,0.343528,0.0562528,0.361427,0.700195,0.179925,0.400824,0.127,0.524561,5,8,1,19.8042,31.0148,4
617411a32788418ec824bdad,Charles Chaplin,Short & Comedy & Drama & Romance,4.0,Charles Chaplin & Edna Purviance & Eric Campbell & Albert Austin & Henry Bergman,Charles Chaplin & Vincent Bryan & Maverick Terrell,The Immigrant,nn,nn,1917,45,tt0008133,20.9985,-23.0569,0.188523,0.528776,0.361423,0.593733,0.386858,0.338345,0.267146,0.271919,5,8,2,-31.3389,19.7602,2
617411e52788418ec824bdc7,Rex Ingram,Drama & Romance & War,4.0,Pomeroy Cannon & Josef Swickard & Bridgetta Clark & Rudolph Valentino & Virginia Warwick,Vicente Blasco Ibáñez & June Mathis,The Four Horsemen of the Apocalypse,nn,nn,1921,44,tt0012190,-17.6089,-56.7104,0.251035,0.155087,0.342442,0.700541,0.348345,0.183458,0.111411,0.309043,5,8,1,15.9509,33.146,4
617412062788418ec824bdd3,Edward F. Cline & Buster Keaton,Short & Comedy & Family,4.0,Buster Keaton & Edward F. Cline & Virginia Fox & Steve Murphy & Joe Roberts,Buster Keaton & Edward F. Cline,Cops,nn,nn,1922,38,tt0013025,39.1584,-11.5367,0.380689,0.138054,0.126437,0.489366,0.384023,0.368802,0.590223,0.443304,5,8,3,-45.5773,-0.0348411,7
6174120c2788418ec824bdd5,Fritz Lang,Crime & Mystery & Thriller,4.0,Rudolf Klein-Rogge & Aud Egede-Nissen & Gertrude Welcker & Alfred Abel & Bernhard Goetzke,Norbert Jacques & Fritz Lang & Thea von Harbou,Dr. Mabuse the Gambler,nn,nn,1922,41,tt0013086,-40.701,-59.9597,0.598484,0.239417,0.344766,0.530958,0.0656266,0.281823,0.27446,0.139418,5,8,1,-3.94712,20.8804,4
617412192788418ec824bdd9,Robert J. Flaherty,Documentary,4.0,Allakariallak & Alice Nevalinga & Cunayou & Allegoo & Camock,Frances H. Flaherty & Robert J. Flaherty,Nanook of the North,nn,nn,1922,44,tt0013427,28.6688,-65.2693,0.127061,0.0550836,0.056999,0.132848,0.0904614,0.0865772,0.0242465,0.227844,5,8,5,52.7031,-15.1006,3
6174123d2788418ec824bde7,Yakov Protazanov,Adventure & Comedy & Drama & Fantasy & Romance & Sci-Fi,4.0,Yuliya Solntseva & Igor Ilyinsky & Nikolai Tsereteli & Nikolay Batalov & Vera Orlova,Aleksei Fajko & Fyodor Otsep & Aleksei Tolstoy,Aelita: Queen of Mars,nn,nn,1924,36,tt0014646,27.6874,-58.0862,0.19785,0.279542,0.151621,0.242584,0.142575,0.131633,0.376033,0.12202,5,8,4,32.8288,-16.5684,1
617412962788418ec824be0b,Larry Semon,Comedy & Family & Fantasy & Adventure,3.0,Dorothy Dwan & Mary Carr & Virginia Pearson & Bryant Washburn & Josef Swickard,L. Frank Baum & Frank Joslyn Baum & Leon Lee,The Wizard of Oz,nn,nn,1925,47,tt0016544,20.1428,-13.3769,0.146148,0.47108,0.376223,0.358513,0.283959,0.365615,0.672967,0.262879,5,8,3,-54.3789,-5.65945,7
617412af2788418ec824be15,Alfred Hitchcock,Crime & Drama & Mystery & Thriller,4.0,Marie Ault & Arthur Chesney & June Tripp & Malcolm Keen & Ivor Novello,Marie Belloc Lowndes & Eliot Stannard & Alfred Hitchcock,The Lodger: A Story of the London Fog,nn,nn,1927,101,tt0017075,14.5649,-20.6251,0.429321,0.492958,0.142574,0.516242,0.307233,0.220642,0.833642,0.106247,5,8,3,-48.3708,16.0416,7
617412e42788418ec824be2b,Grigoriy Aleksandrov & Sergei M. Eisenstein,Drama & History,4.0,Nikolay Popov & Vasili Nikandrov & Layaschenko & Chibisov & Boris Livanov,Sergei M. Eisenstein & Grigoriy Aleksandrov & Boris Agapow,October (Ten Days that Shook the World),nn,nn,1927,50,tt0018217,-17.4416,-53.8164,0.467594,0.374197,0.155419,0.475001,0.198725,0.329345,0.299842,0.230294,5,8,2,-12.5937,29.8165,2
617413022788418ec824be37,Georg Wilhelm Pabst,Crime & Drama & Romance,4.0,Louise Brooks & Fritz Kortner & Francis Lederer & Carl Goetz & Krafft-Raschig,Frank Wedekind & Ladislaus Vajda & Joseph Fleisler,Pandora's Box,nn,nn,1929,89,tt0018737,16.2395,-37.7493,0.248418,0.26455,0.322594,0.274846,0.397223,0.377866,0.205318,0.409331,5,8,7,14.36,-32.3984,6
617413282788418ec824be45,Josef von Sternberg,Drama & History & Romance & War,5.0,Emil Jannings & Evelyn Brent & William Powell & Jack Raymond & Nicholas Soussanin,Lajos Biró & John F. Goodrich & Ernst Lubitsch,The Last Command,nn,nn,1928,39,tt0019071,6.86323,-36.0041,0.413943,0.151534,0.272807,0.433751,0.222188,0.443684,0.247932,0.692483,5,8,6,-4.28395,-36.8997,5
6174135a2788418ec824be57,Victor Sjöström,Drama & Romance & Thriller & Western,5.0,Lillian Gish & Lars Hanson & Montagu Love & Dorothy Cumming & Edward Earle,Frances Marion & Dorothy Scarborough,The Wind,nn,nn,1928,49,tt0019585,-14.8692,-52.7578,0.571731,0.243583,0.282055,0.519814,0.474507,0.351713,0.336106,0.289625,5,8,2,-12.6641,46.4055,2
6174139a2788418ec824be6f,Georg Wilhelm Pabst,Drama,4.0,Louise Brooks & André Roanne & Josef Rovenský & Fritz Rasp & Vera Pawlowa,Margarete Böhme & Rudolf Leonhardt,Diary of a Lost Girl,nn,nn,1929,50,tt0020475,9.82621,-31.378,0.257688,0.121723,0.372731,0.178314,0.507952,0.482885,0.11359,0.500787,5,8,7,16.7691,-37.5451,6
6174139f2788418ec824be71,Luis Buñuel,Short & Fantasy & Horror,4.0,Simone Mareuil & Pierre Batcheff & Luis Buñuel & Salvador Dalí & Robert Hommet,Salvador Dalí & Luis Buñuel,Un Chien Andalou,nn,nn,1929,171,tt0020530,17.8133,-65.5816,0.267775,0.138163,0.328393,0.25957,0.127944,0.161775,0.465451,0.0660788,5,8,4,35.6134,-16.2851,1
617413a52788418ec824be73,D.W. Griffith,Biography & Drama & History & War,3.0,William L. Thorne & Lucille La Verne & Helen Freeman & Otto Hoffman & Walter Huston,Stephen Vincent Benet & John W. Considine Jr. & Stephen Vincent Benet,Abraham Lincoln,nn,nn,1930,47,tt0020620,7.88685,-37.808,0.267831,0.247697,0.233352,0.327727,0.213064,0.356608,0.0820698,0.68476,5,8,5,24.1301,-15.5189,3
617413bb2788418ec824be7b,Roland West,Crime & Thriller & Horror & Drama & Mystery & Comedy,4.0,Chance Ward & Richard Tucker & Wilson Benge & DeWitt Jennings & Sidney D'Albrook,Mary Roberts Rinehart & Avery Hopwood & Roland West,The Bat Whispers,nn,nn,1930,35,tt0020668,12.5185,-66.4867,0.380576,0.102302,0.196798,0.395806,0.0597157,0.315623,0.329455,0.0566942,5,8,5,25.9364,13.7423,3
617413c22788418ec824be7d,Raoul Walsh & Louis R. Loeffler,Adventure & Romance & Western,4.0,John Wayne & Marguerite Churchill & El Brendel & Tully Marshall & Tyrone Power Sr.,Hal G. Evarts & Marie Boyle & Marie Boyle,The Big Trail,nn,nn,1930,63,tt0020691,24.0064,-68.1301,0.217495,0.0547544,0.334077,0.151804,0.0908209,0.0981193,0.0948547,0.0633845,5,8,5,49.8174,-8.97116,3
617413da2788418ec824be85,Howard Hughes & Edmund Goulding & James Whale,Drama & War,4.0,Ben Lyon & James Hall & Jean Harlow & John Darrow & Lucien Prival,Marshall Neilan & Joseph Moncure March & Joseph Moncure March,Hell's Angels,nn,nn,1930,66,tt0020960,-16.1925,-58.4715,0.452389,0.121393,0.143752,0.718319,0.209243,0.270452,0.476213,0.216657,5,8,1,3.57405,34.0266,4
617414062788418ec824be95,Jean Cocteau,Fantasy,4.0,Enrique Rivero & Elizabeth Lee Miller & Pauline Carton & Odette Talazac & Jean Desbordes,Jean Cocteau,The Blood of a Poet,nn,nn,1930,33,tt0021331,17.9121,-68.6227,0.266688,0.00831332,0.184469,0.121327,0.0768542,0.309545,0.281132,0.0158325,5,8,5,38.5299,-28.2073,3
6174140c2788418ec824be97,Jack Conway,Crime & Drama & Romance,4.0,Lon Chaney & Lila Lee & Elliott Nugent & Harry Earles & John Miljan,Clarence Aaron 'Tod' Robbins,The Unholy Three,nn,nn,1930,36,tt0021505,-49.0353,-54.4767,0.651526,0.0521294,0.369619,0.650297,0.0823007,0.405584,0.161487,0.0184081,5,8,1,23.1753,40.0701,4
617414252788418ec824be9f,Luis Buñuel,Comedy & Drama,4.0,Gaston Modot & Lya Lys & Caridad de Laberdesque & Max Ernst & Artigas,Luis Buñuel & Salvador Dalí & Marquis de Sade,L'Age d'Or,nn,nn,1930,58,tt0021577,15.84,-61.6816,0.39987,0.23076,0.266356,0.1691,0.296868,0.223244,0.247171,0.173354,5,8,4,34.5894,1.32825,1
